theme_id,theme_name,bottleneck_layer,active_from,active_until,company_code,conviction,source_note,evidence_date,evidence_url,invalidation_criteria,review_by
stay_home_tech,Stay-home NB/PC supply chain,NB assembly capacity,2020-04-15,2021-06-30,2357,3,"WFH/遠距教學 NB 急單,2020-04 Q1 法說與急單報導;成員=NB 代工四雄+品牌雙雄",2020-04-15,"backcast:contemporaneous coverage, see source_note",NB 出貨動能反轉(2021H2 需求正常化),
shipping_container,Container shipping capacity crunch,container slots / port congestion,2020-08-01,2022-07-01,2603,5,SCFI 2020-07 起連週上漲+塞港報導;運力供給無彈性(新船交期 2-3 年);成員=貨櫃三雄+貨攬,2020-08-01,"backcast:contemporaneous coverage, see source_note",SCFI 連 2 季回落(2022 年中確認),
shipping_container,Container shipping capacity crunch,container slots / port congestion,2020-08-01,2022-07-01,2609,5,SCFI 2020-07 起連週上漲+塞港報導;運力供給無彈性(新船交期 2-3 年);成員=貨櫃三雄+貨攬,2020-08-01,"backcast:contemporaneous coverage, see source_note",SCFI 連 2 季回落(2022 年中確認),
shipping_container,Container shipping capacity crunch,container slots / port congestion,2020-08-01,2022-07-01,2615,5,SCFI 2020-07 起連週上漲+塞港報導;運力供給無彈性(新船交期 2-3 年);成員=貨櫃三雄+貨攬,2020-08-01,"backcast:contemporaneous coverage, see source_note",SCFI 連 2 季回落(2022 年中確認),
shipping_container,Container shipping capacity crunch,container slots / port congestion,2020-08-01,2022-07-01,2636,5,SCFI 2020-07 起連週上漲+塞港報導;運力供給無彈性(新船交期 2-3 年);成員=貨櫃三雄+貨攬,2020-08-01,"backcast:contemporaneous coverage, see source_note",SCFI 連 2 季回落(2022 年中確認),
abf_substrate,ABF substrate shortage,IC substrate (ABF) capacity,2020-10-15,2023-06-30,3037,5,"ABF 載板 2020Q4 缺貨漲價報導,擴產交期 2 年+;成員=ABF 三雄(類別定義)",2020-10-15,"backcast:contemporaneous coverage, see source_note",ABF 交期正常化/報價回落(2023 上半年確認),
abf_substrate,ABF substrate shortage,IC substrate (ABF) capacity,2020-10-15,2023-06-30,8046,5,"ABF 載板 2020Q4 缺貨漲價報導,擴產交期 2 年+;成員=ABF 三雄(類別定義)",2020-10-15,"backcast:contemporaneous coverage, see source_note",ABF 交期正常化/報價回落(2023 上半年確認),
abf_substrate,ABF substrate shortage,IC substrate (ABF) capacity,2020-10-15,2023-06-30,3189,5,"ABF 載板 2020Q4 缺貨漲價報導,擴產交期 2 年+;成員=ABF 三雄(類別定義)",2020-10-15,"backcast:contemporaneous coverage, see source_note",ABF 交期正常化/報價回落(2023 上半年確認),
foundry_shortage,Mature-node foundry shortage,8吋/成熟製程 foundry capacity,2020-12-15,2022-09-30,2303,4,"車用晶片荒 2020-12 爆發(車廠停線報導),成熟製程產能塞爆;成員=成熟製程代工(類別定義)",2020-12-15,"backcast:contemporaneous coverage, see source_note",成熟製程砍單/降價(2022H2 確認),
foundry_shortage,Mature-node foundry shortage,8吋/成熟製程 foundry capacity,2020-12-15,2022-09-30,5347,4,"車用晶片荒 2020-12 爆發(車廠停線報導),成熟製程產能塞爆;成員=成熟製程代工(類別定義)",2020-12-15,"backcast:contemporaneous coverage, see source_note",成熟製程砍單/降價(2022H2 確認),
foundry_shortage,Mature-node foundry shortage,8吋/成熟製程 foundry capacity,2020-12-15,2022-09-30,6770,4,"車用晶片荒 2020-12 爆發(車廠停線報導),成熟製程產能塞爆;成員=成熟製程代工(類別定義)",2020-12-15,"backcast:contemporaneous coverage, see source_note",成熟製程砍單/降價(2022H2 確認),
steel_policy,China supply-cut steel cycle,steel capacity (policy-constrained),2021-03-01,2021-09-30,2002,3,"中國限產+全球基建需求,2021-03 鋼價噴出報導;政策性供給收縮為放大器;成員=鋼鐵類別",2021-03-01,"backcast:contemporaneous coverage, see source_note",鋼價見頂回落(2021-05 後確認),
steel_policy,China supply-cut steel cycle,steel capacity (policy-constrained),2021-03-01,2021-09-30,2014,3,"中國限產+全球基建需求,2021-03 鋼價噴出報導;政策性供給收縮為放大器;成員=鋼鐵類別",2021-03-01,"backcast:contemporaneous coverage, see source_note",鋼價見頂回落(2021-05 後確認),
steel_policy,China supply-cut steel cycle,steel capacity (policy-constrained),2021-03-01,2021-09-30,2006,3,"中國限產+全球基建需求,2021-03 鋼價噴出報導;政策性供給收縮為放大器;成員=鋼鐵類別",2021-03-01,"backcast:contemporaneous coverage, see source_note",鋼價見頂回落(2021-05 後確認),
steel_policy,China supply-cut steel cycle,steel capacity (policy-constrained),2021-03-01,2021-09-30,2015,3,"中國限產+全球基建需求,2021-03 鋼價噴出報導;政策性供給收縮為放大器;成員=鋼鐵類別",2021-03-01,"backcast:contemporaneous coverage, see source_note",鋼價見頂回落(2021-05 後確認),
ev_supply,Tesla/EV Taiwan supply chain,EV drivetrain / harness / power,2021-10-15,2023-03-31,1536,4,"Tesla 2021Q3 交付破紀錄+上海廠放量,台鏈拉貨報導;成員=documented Tesla 台鏈核心",2021-10-15,"backcast:contemporaneous coverage, see source_note",Tesla 降價戰壓縮供應鏈(2023-01 後),
ev_supply,Tesla/EV Taiwan supply chain,EV drivetrain / harness / power,2021-10-15,2023-03-31,3665,4,"Tesla 2021Q3 交付破紀錄+上海廠放量,台鏈拉貨報導;成員=documented Tesla 台鏈核心",2021-10-15,"backcast:contemporaneous coverage, see source_note",Tesla 降價戰壓縮供應鏈(2023-01 後),
ev_supply,Tesla/EV Taiwan supply chain,EV drivetrain / harness / power,2021-10-15,2023-03-31,5243,4,"Tesla 2021Q3 交付破紀錄+上海廠放量,台鏈拉貨報導;成員=documented Tesla 台鏈核心",2021-10-15,"backcast:contemporaneous coverage, see source_note",Tesla 降價戰壓縮供應鏈(2023-01 後),
ev_supply,Tesla/EV Taiwan supply chain,EV drivetrain / harness / power,2021-10-15,2023-03-31,2308,4,"Tesla 2021Q3 交付破紀錄+上海廠放量,台鏈拉貨報導;成員=documented Tesla 台鏈核心",2021-10-15,"backcast:contemporaneous coverage, see source_note",Tesla 降價戰壓縮供應鏈(2023-01 後),
defense_drone,Defense and drones post-Ukraine,defense aerospace / drone assembly,2022-03-15,,2634,4,"俄烏 2022-02-24 開戰,國防預算與無人機需求跳升;成員=國防航太類別",2022-03-15,"backcast:contemporaneous coverage, see source_note",國防預算/標案取消或大幅遞延,
defense_drone,Defense and drones post-Ukraine,defense aerospace / drone assembly,2022-03-15,,8033,4,"俄烏 2022-02-24 開戰,國防預算與無人機需求跳升;成員=國防航太類別",2022-03-15,"backcast:contemporaneous coverage, see source_note",國防預算/標案取消或大幅遞延,
defense_drone,Defense and drones post-Ukraine,defense aerospace / drone assembly,2022-03-15,,8222,4,"俄烏 2022-02-24 開戰,國防預算與無人機需求跳升;成員=國防航太類別",2022-03-15,"backcast:contemporaneous coverage, see source_note",國防預算/標案取消或大幅遞延,
defense_drone,Defense and drones post-Ukraine,defense aerospace / drone assembly,2022-03-15,,4541,4,"俄烏 2022-02-24 開戰,國防預算與無人機需求跳升;成員=國防航太類別",2022-03-15,"backcast:contemporaneous coverage, see source_note",國防預算/標案取消或大幅遞延,
reopening_travel,Border reopening travel crunch,airline seats / hotel capacity,2022-09-29,2023-12-31,2618,3,"0+7 邊境開放 2022-09-29 宣布,運能供給恢復落後需求;成員=航空+旅遊類別",2022-09-29,"backcast:contemporaneous coverage, see source_note",航空運能恢復、票價正常化,
reopening_travel,Border reopening travel crunch,airline seats / hotel capacity,2022-09-29,2023-12-31,2610,3,"0+7 邊境開放 2022-09-29 宣布,運能供給恢復落後需求;成員=航空+旅遊類別",2022-09-29,"backcast:contemporaneous coverage, see source_note",航空運能恢復、票價正常化,
reopening_travel,Border reopening travel crunch,airline seats / hotel capacity,2022-09-29,2023-12-31,2731,3,"0+7 邊境開放 2022-09-29 宣布,運能供給恢復落後需求;成員=航空+旅遊類別",2022-09-29,"backcast:contemporaneous coverage, see source_note",航空運能恢復、票價正常化,
reopening_travel,Border reopening travel crunch,airline seats / hotel capacity,2022-09-29,2023-12-31,2707,3,"0+7 邊境開放 2022-09-29 宣布,運能供給恢復落後需求;成員=航空+旅遊類別",2022-09-29,"backcast:contemporaneous coverage, see source_note",航空運能恢復、票價正常化,
