date,series,nav
2005-07-11,Iter95 execution-ready champion,997032.7020496884
2005-07-12,Iter95 execution-ready champion,1002526.9998148151
2005-07-13,Iter95 execution-ready champion,1004602.6234149744
2005-07-14,Iter95 execution-ready champion,1008509.6796035089
2005-07-15,Iter95 execution-ready champion,1009730.6346624261
2005-07-19,Iter95 execution-ready champion,1009242.2526388592
2005-07-20,Iter95 execution-ready champion,1009852.7301683177
2005-07-21,Iter95 execution-ready champion,1008753.8706152923
2005-07-22,Iter95 execution-ready champion,1006189.8649915666
2005-07-25,Iter95 execution-ready champion,1009852.7301683177
2005-07-26,Iter95 execution-ready champion,1008265.4885917255
2005-07-27,Iter95 execution-ready champion,1001916.5222853567
2005-07-28,Iter95 execution-ready champion,1004846.8144267579
2005-07-29,Iter95 execution-ready champion,999718.803179306
2005-08-01,Iter95 execution-ready champion,1001672.3312735732
2005-08-02,Iter95 execution-ready champion,1009120.1571329674
2005-08-03,Iter95 execution-ready champion,1019009.8931101959
2005-08-04,Iter95 execution-ready champion,1019131.9886160875
2005-08-08,Iter95 execution-ready champion,1012050.4492743686
2005-08-09,Iter95 execution-ready champion,1010219.016685993
2005-08-10,Iter95 execution-ready champion,1011073.6852272348
2005-08-11,Iter95 execution-ready champion,1010463.2076977761
2005-08-12,Iter95 execution-ready champion,1009852.7301683177
2005-08-15,Iter95 execution-ready champion,996666.4155320132
2005-08-16,Iter95 execution-ready champion,999718.803179306
2005-08-17,Iter95 execution-ready champion,997488.4888013317
2005-08-18,Iter95 execution-ready champion,996769.9638243819
2005-08-19,Iter95 execution-ready champion,993177.3389396325
2005-08-22,Iter95 execution-ready champion,995724.8365851822
2005-08-23,Iter95 execution-ready champion,995920.7979425321
2005-08-24,Iter95 execution-ready champion,993961.1843690325
2005-08-25,Iter95 execution-ready champion,993046.6980347326
2005-08-26,Iter95 execution-ready champion,994157.1457263825
2005-08-29,Iter95 execution-ready champion,988474.2663632336
2005-08-30,Iter95 execution-ready champion,988408.9459107835
2005-08-31,Iter95 execution-ready champion,987494.4595764837
2005-09-02,Iter95 execution-ready champion,991609.6480808329
2005-09-05,Iter95 execution-ready champion,991217.725366133
2005-09-06,Iter95 execution-ready champion,993046.6980347326
2005-09-07,Iter95 execution-ready champion,993438.6207494326
2005-09-08,Iter95 execution-ready champion,993699.9025592324
2005-09-09,Iter95 execution-ready champion,992132.2117004328
2005-09-12,Iter95 execution-ready champion,994745.0297984323
2005-09-13,Iter95 execution-ready champion,995724.8365851822
2005-09-14,Iter95 execution-ready champion,994353.1070837324
2005-09-15,Iter95 execution-ready champion,992916.0571298327
2005-09-16,Iter95 execution-ready champion,989715.3549597833
2005-09-19,Iter95 execution-ready champion,990695.1617465331
2005-09-20,Iter95 execution-ready champion,994222.4661788323
2005-09-21,Iter95 execution-ready champion,991805.6094381828
2005-09-22,Iter95 execution-ready champion,985665.486907884
2005-09-23,Iter95 execution-ready champion,983575.2324294844
2005-09-26,Iter95 execution-ready champion,983705.8733343843
2005-09-27,Iter95 execution-ready champion,985077.602835834
2005-09-28,Iter95 execution-ready champion,984816.3210260342
2005-09-29,Iter95 execution-ready champion,987821.0618387336
2005-09-30,Iter95 execution-ready champion,992393.4935102328
2005-10-03,Iter95 execution-ready champion,993961.1843690325
2005-10-04,Iter95 execution-ready champion,995472.5901700775
2005-10-05,Iter95 execution-ready champion,993606.0899419929
2005-10-06,Iter95 execution-ready champion,990619.6895770573
2005-10-07,Iter95 execution-ready champion,989748.6561372845
2005-10-11,Iter95 execution-ready champion,989748.6561372845
2005-10-12,Iter95 execution-ready champion,980416.1549968611
2005-10-13,Iter95 execution-ready champion,977305.3212833867
2005-10-14,Iter95 execution-ready champion,977305.3212833867
2005-10-17,Iter95 execution-ready champion,965110.853126567
2005-10-18,Iter95 execution-ready champion,963892.5761598677
2005-10-19,Iter95 execution-ready champion,963892.5761598677
2005-10-20,Iter95 execution-ready champion,966211.5460863027
2005-10-21,Iter95 execution-ready champion,965011.7339984804
2005-10-24,Iter95 execution-ready champion,964822.2899846137
2005-10-25,Iter95 execution-ready champion,966527.286109414
2005-10-26,Iter95 execution-ready champion,965706.3620493249
2005-10-27,Iter95 execution-ready champion,965011.7339984804
2005-10-28,Iter95 execution-ready champion,964380.253952258
2005-10-31,Iter95 execution-ready champion,970316.166386748
2005-11-01,Iter95 execution-ready champion,970821.3504237258
2005-11-02,Iter95 execution-ready champion,974483.9346918154
2005-11-03,Iter95 execution-ready champion,975241.7107472821
2005-11-04,Iter95 execution-ready champion,976062.6348073712
2005-11-07,Iter95 execution-ready champion,975873.1907935045
2005-11-08,Iter95 execution-ready champion,975936.3387981267
2005-11-09,Iter95 execution-ready champion,980988.1791679054
2005-11-10,Iter95 execution-ready champion,982061.6952464833
2005-11-11,Iter95 execution-ready champion,986292.611556173
2005-11-14,Iter95 execution-ready champion,987150.8803330184
2005-11-15,Iter95 execution-ready champion,982053.0260743249
2005-11-16,Iter95 execution-ready champion,983145.4234154734
2005-11-17,Iter95 execution-ready champion,980475.1188037769
2005-11-18,Iter95 execution-ready champion,988486.0326388666
2005-11-21,Iter95 execution-ready champion,988971.542568266
2005-11-22,Iter95 execution-ready champion,984844.7081683713
2005-11-23,Iter95 execution-ready champion,990063.9399094146
2005-11-24,Iter95 execution-ready champion,989942.5624270649
2005-11-25,Iter95 execution-ready champion,989942.5624270649
2005-11-28,Iter95 execution-ready champion,999410.0060503528
2005-11-29,Iter95 execution-ready champion,992976.9994858111
2005-11-30,Iter95 execution-ready champion,996254.1915092568
2005-12-01,Iter95 execution-ready champion,995161.7941681083
2005-12-02,Iter95 execution-ready champion,999410.0060503528
2005-12-05,Iter95 execution-ready champion,1015189.0787558329
2005-12-06,Iter95 execution-ready champion,1014582.1913440835
2005-12-07,Iter95 execution-ready champion,1009727.0920500897
2005-12-08,Iter95 execution-ready champion,1000016.893462102
2005-12-09,Iter95 execution-ready champion,1000016.893462102
2005-12-12,Iter95 execution-ready champion,1000016.893462102
2005-12-13,Iter95 execution-ready champion,1000259.6484268018
2005-12-14,Iter95 execution-ready champion,996496.9464739566
2005-12-15,Iter95 execution-ready champion,997589.3438151052
2005-12-16,Iter95 execution-ready champion,1008270.5622618916
2005-12-19,Iter95 execution-ready champion,1015189.0787558329
2005-12-20,Iter95 execution-ready champion,1014582.1913440835
2005-12-21,Iter95 execution-ready champion,1018830.4032263282
2005-12-22,Iter95 execution-ready champion,1013975.3039323343
2005-12-23,Iter95 execution-ready champion,1023078.6151085729
2005-12-26,Iter95 execution-ready champion,1026113.052167319
2005-12-27,Iter95 execution-ready champion,1027933.7144025667
2005-12-28,Iter95 execution-ready champion,1023078.6151085729
2005-12-29,Iter95 execution-ready champion,1027326.8269908174
2005-12-30,Iter95 execution-ready champion,1026113.052167319
2006-01-02,Iter95 execution-ready champion,1017616.6284028298
2006-01-03,Iter95 execution-ready champion,1028540.6018143159
2006-01-04,Iter95 execution-ready champion,1031575.0388730621
2006-01-05,Iter95 execution-ready champion,1040678.3500493005
2006-01-06,Iter95 execution-ready champion,1038857.6878140528
2006-01-09,Iter95 execution-ready champion,1044926.561931545
2006-01-10,Iter95 execution-ready champion,1038857.6878140528
2006-01-11,Iter95 execution-ready champion,1041892.1248727989
2006-01-12,Iter95 execution-ready champion,1043712.7871080467
2006-01-13,Iter95 execution-ready champion,1040678.3500493005
2006-01-16,Iter95 execution-ready champion,1045533.4493432944
2006-01-17,Iter95 execution-ready champion,1045533.4493432944
2006-01-18,Iter95 execution-ready champion,1021257.9528733252
2006-01-19,Iter95 execution-ready champion,1027933.7144025667
2006-01-20,Iter95 execution-ready champion,1026719.9395790681
2006-01-23,Iter95 execution-ready champion,1017616.6284028298
2006-01-24,Iter95 execution-ready champion,1023078.6151085729
2006-01-25,Iter95 execution-ready champion,1024425.7956543097
2006-02-03,Iter95 execution-ready champion,1025904.700998805
2006-02-06,Iter95 execution-ready champion,1030341.4170322912
2006-02-07,Iter95 execution-ready champion,1034186.5709279792
2006-02-08,Iter95 execution-ready champion,1030045.6359633921
2006-02-09,Iter95 execution-ready champion,1029454.073825594
2006-02-10,Iter95 execution-ready champion,1028862.5116877959
2006-02-13,Iter95 execution-ready champion,1028270.9495499977
2006-02-14,Iter95 execution-ready champion,1029749.854894493
2006-02-15,Iter95 execution-ready champion,1028566.7306188967
2006-02-16,Iter95 execution-ready champion,1034482.3519968783
2006-02-17,Iter95 execution-ready champion,1033890.7898590802
2006-02-20,Iter95 execution-ready champion,1035426.2480390309
2006-02-21,Iter95 execution-ready champion,1034303.0859487953
2006-02-22,Iter95 execution-ready champion,1026440.9513171456
2006-02-23,Iter95 execution-ready champion,1021948.3029562029
2006-02-24,Iter95 execution-ready champion,1025879.3702720277
2006-02-27,Iter95 execution-ready champion,1029810.4375878526
2006-03-01,Iter95 execution-ready champion,1034864.6669939132
2006-03-02,Iter95 execution-ready champion,1034864.6669939132
2006-03-03,Iter95 execution-ready champion,1025879.3702720277
2006-03-06,Iter95 execution-ready champion,1030372.0186329705
2006-03-07,Iter95 execution-ready champion,1023071.4650464385
2006-03-08,Iter95 execution-ready champion,1018578.8166854958
2006-03-09,Iter95 execution-ready champion,1021386.721911085
2006-03-10,Iter95 execution-ready champion,1021026.7496198972
2006-03-13,Iter95 execution-ready champion,1022191.549199617
2006-03-14,Iter95 execution-ready champion,1019279.5502503172
2006-03-15,Iter95 execution-ready champion,1024229.9484641268
2006-03-16,Iter95 execution-ready champion,1022773.948989477
2006-03-17,Iter95 execution-ready champion,1023356.348779337
2006-03-20,Iter95 execution-ready champion,1023065.148884407
2006-03-21,Iter95 execution-ready champion,1020735.5497249672
2006-03-22,Iter95 execution-ready champion,1016076.3514060876
2006-03-23,Iter95 execution-ready champion,1014620.3519314377
2006-03-24,Iter95 execution-ready champion,1016949.9510908775
2006-03-27,Iter95 execution-ready champion,1017823.5507756674
2006-03-28,Iter95 execution-ready champion,1020444.3498300372
2006-03-29,Iter95 execution-ready champion,1021609.1494097571
2006-03-30,Iter95 execution-ready champion,1025103.5481489168
2006-03-31,Iter95 execution-ready champion,1028015.5470982165
2006-04-03,Iter95 execution-ready champion,1029762.7464677964
2006-04-04,Iter95 execution-ready champion,1029762.7464677964
2006-04-06,Iter95 execution-ready champion,1033556.441838061
2006-04-07,Iter95 execution-ready champion,1035829.8592651575
2006-04-10,Iter95 execution-ready champion,1038103.2766922542
2006-04-11,Iter95 execution-ready champion,1031851.3787677384
2006-04-12,Iter95 execution-ready champion,1036398.2136219318
2006-04-13,Iter95 execution-ready champion,1041513.4028328992
2006-04-14,Iter95 execution-ready champion,1048902.0094709634
2006-04-17,Iter95 execution-ready champion,1050607.0725412858
2006-04-18,Iter95 execution-ready champion,1051743.781254834
2006-04-19,Iter95 execution-ready champion,1056290.6161090273
2006-04-20,Iter95 execution-ready champion,1060837.4509632208
2006-04-21,Iter95 execution-ready champion,1062542.5140335432
2006-04-24,Iter95 execution-ready champion,1063679.2227470914
2006-04-25,Iter95 execution-ready champion,1057995.67917935
2006-04-26,Iter95 execution-ready champion,1069362.7663148332
2006-04-27,Iter95 execution-ready champion,1066520.9945309623
2006-04-28,Iter95 execution-ready champion,1068794.4119580588
2006-05-02,Iter95 execution-ready champion,1068794.4119580588
2006-05-03,Iter95 execution-ready champion,1073341.2468122523
2006-05-04,Iter95 execution-ready champion,1082434.9165206389
2006-05-05,Iter95 execution-ready champion,1086981.7513748321
2006-05-08,Iter95 execution-ready champion,1096075.4210832187
2006-05-09,Iter95 execution-ready champion,1088118.4600883804
2006-05-10,Iter95 execution-ready champion,1075614.6642393488
2006-05-11,Iter95 execution-ready champion,1079593.144736768
2006-05-12,Iter95 execution-ready champion,1076751.372952897
2006-05-15,Iter95 execution-ready champion,1059700.7422496723
2006-05-16,Iter95 execution-ready champion,1050607.0725412858
2006-05-17,Iter95 execution-ready champion,1055153.907395479
2006-05-18,Iter95 execution-ready champion,1044355.1746167699
2006-05-19,Iter95 execution-ready champion,1045491.8833303184
2006-05-22,Iter95 execution-ready champion,1041404.8152532382
2006-05-23,Iter95 execution-ready champion,1036243.7880494338
2006-05-24,Iter95 execution-ready champion,1038250.8541842466
2006-05-25,Iter95 execution-ready champion,1038250.8541842466
2006-05-26,Iter95 execution-ready champion,1037964.130450702
2006-05-29,Iter95 execution-ready champion,1039684.4728519701
2006-05-30,Iter95 execution-ready champion,1038537.5779177914
2006-06-01,Iter95 execution-ready champion,1038537.5779177914
2006-06-02,Iter95 execution-ready champion,1043698.6051215958
2006-06-05,Iter95 execution-ready champion,1033089.8269804423
2006-06-06,Iter95 execution-ready champion,1035670.3405823444
2006-06-07,Iter95 execution-ready champion,1029649.1421779059
2006-06-08,Iter95 execution-ready champion,1018983.0192900435
2006-06-09,Iter95 execution-ready champion,1017955.0138484982
2006-06-12,Iter95 execution-ready champion,1017955.0138484982
2006-06-13,Iter95 execution-ready champion,1017955.0138484982
2006-06-14,Iter95 execution-ready champion,1017955.0138484982
2006-06-15,Iter95 execution-ready champion,1017955.0138484982
2006-06-16,Iter95 execution-ready champion,1017955.0138484982
2006-06-19,Iter95 execution-ready champion,1017955.0138484982
2006-06-20,Iter95 execution-ready champion,1017955.0138484982
2006-06-21,Iter95 execution-ready champion,1017955.0138484982
2006-06-22,Iter95 execution-ready champion,1017955.0138484982
2006-06-23,Iter95 execution-ready champion,1017955.0138484982
2006-06-26,Iter95 execution-ready champion,1017955.0138484982
2006-06-27,Iter95 execution-ready champion,1017955.0138484982
2006-06-28,Iter95 execution-ready champion,1017955.0138484982
2006-06-29,Iter95 execution-ready champion,1017955.0138484982
2006-06-30,Iter95 execution-ready champion,1017955.0138484982
2006-07-03,Iter95 execution-ready champion,1017955.0138484982
2006-07-04,Iter95 execution-ready champion,1017955.0138484982
2006-07-05,Iter95 execution-ready champion,1017955.0138484982
2006-07-06,Iter95 execution-ready champion,1017955.0138484982
2006-07-07,Iter95 execution-ready champion,1017955.0138484982
2006-07-10,Iter95 execution-ready champion,1030141.434207201
2006-07-11,Iter95 execution-ready champion,1025454.5650724852
2006-07-12,Iter95 execution-ready champion,1023111.1305051273
2006-07-13,Iter95 execution-ready champion,1018424.2613704114
2006-07-14,Iter95 execution-ready champion,1003191.9366825847
2006-07-17,Iter95 execution-ready champion,989482.8444635408
2006-07-18,Iter95 execution-ready champion,993466.6832280493
2006-07-19,Iter95 execution-ready champion,993701.0266847851
2006-07-20,Iter95 execution-ready champion,1009636.3817428191
2006-07-21,Iter95 execution-ready champion,1007878.8058173007
2006-07-24,Iter95 execution-ready champion,1000848.5021152268
2006-07-25,Iter95 execution-ready champion,1004668.322886899
2006-07-26,Iter95 execution-ready champion,1004957.750694477
2006-07-27,Iter95 execution-ready champion,1009009.7400005695
2006-07-28,Iter95 execution-ready champion,1008720.3121929914
2006-07-31,Iter95 execution-ready champion,1007852.0287702573
2006-08-01,Iter95 execution-ready champion,1008141.4565778354
2006-08-02,Iter95 execution-ready champion,1010167.4512308815
2006-08-03,Iter95 execution-ready champion,1011035.7346536156
2006-08-04,Iter95 execution-ready champion,1008141.4565778354
2006-08-07,Iter95 execution-ready champion,1007852.0287702573
2006-08-08,Iter95 execution-ready champion,1012772.3014990839
2006-08-09,Iter95 execution-ready champion,1017113.7186127543
2006-08-10,Iter95 execution-ready champion,1017692.5742279103
2006-08-11,Iter95 execution-ready champion,1015218.2925066665
2006-08-14,Iter95 execution-ready champion,1020293.3734739017
2006-08-15,Iter95 execution-ready champion,1020857.27135915
2006-08-16,Iter95 execution-ready champion,1029879.6375231234
2006-08-17,Iter95 execution-ready champion,1034954.7184903586
2006-08-18,Iter95 execution-ready champion,1033263.0248346135
2006-08-21,Iter95 execution-ready champion,1014090.4967361698
2006-08-22,Iter95 execution-ready champion,1019729.4755886534
2006-08-23,Iter95 execution-ready champion,1020857.27135915
2006-08-24,Iter95 execution-ready champion,1016909.9861624115
2006-08-25,Iter95 execution-ready champion,1017473.8840476599
2006-08-28,Iter95 execution-ready champion,1010143.2115394314
2006-08-29,Iter95 execution-ready champion,1014090.4967361698
2006-08-30,Iter95 execution-ready champion,1023112.8629001434
2006-08-31,Iter95 execution-ready champion,1029315.7396378752
2006-09-01,Iter95 execution-ready champion,1030443.535408372
2006-09-04,Iter95 execution-ready champion,1038338.1058018487
2006-09-05,Iter95 execution-ready champion,1040029.7994575937
2006-09-06,Iter95 execution-ready champion,1034954.7184903586
2006-09-07,Iter95 execution-ready champion,1032699.1269493651
2006-09-08,Iter95 execution-ready champion,1034390.8206051103
2006-09-11,Iter95 execution-ready champion,1034954.7184903586
2006-09-12,Iter95 execution-ready champion,1028187.9438673785
2006-09-13,Iter95 execution-ready champion,1036646.4121461037
2006-09-14,Iter95 execution-ready champion,1033263.0248346135
2006-09-15,Iter95 execution-ready champion,1040593.6973428421
2006-09-18,Iter95 execution-ready champion,1059202.3275560373
2006-09-19,Iter95 execution-ready champion,1059766.2254412859
2006-09-20,Iter95 execution-ready champion,1055818.9402445473
2006-09-21,Iter95 execution-ready champion,1057510.6339002922
2006-09-22,Iter95 execution-ready champion,1054127.2465888024
2006-09-25,Iter95 execution-ready champion,1055818.9402445473
2006-09-26,Iter95 execution-ready champion,1055818.9402445473
2006-09-27,Iter95 execution-ready champion,1060330.1233265342
2006-09-28,Iter95 execution-ready champion,1054691.1444740505
2006-09-29,Iter95 execution-ready champion,1052999.4508183056
2006-10-02,Iter95 execution-ready champion,1057510.6339002922
2006-10-03,Iter95 execution-ready champion,1059202.3275560373
2006-10-04,Iter95 execution-ready champion,1051871.6550478088
2006-10-05,Iter95 execution-ready champion,1063149.612752776
2006-10-11,Iter95 execution-ready champion,1063713.5106380242
2006-10-12,Iter95 execution-ready champion,1060330.1233265342
2006-10-13,Iter95 execution-ready champion,1067660.7958347625
2006-10-14,Iter95 execution-ready champion,1065969.1021790174
2006-10-16,Iter95 execution-ready champion,1073863.6725724945
2006-10-17,Iter95 execution-ready champion,1069916.387375756
2006-10-18,Iter95 execution-ready champion,1060330.1233265342
2006-10-19,Iter95 execution-ready champion,1056946.7360150442
2006-10-20,Iter95 execution-ready champion,1060330.1233265342
2006-10-23,Iter95 execution-ready champion,1060330.1233265342
2006-10-24,Iter95 execution-ready champion,1065969.1021790174
2006-10-25,Iter95 execution-ready champion,1064841.3064085208
2006-10-26,Iter95 execution-ready champion,1067265.856117379
2006-10-27,Iter95 execution-ready champion,1070902.680680666
2006-10-30,Iter95 execution-ready champion,1061810.6192724481
2006-10-31,Iter95 execution-ready champion,1064841.3064085208
2006-11-01,Iter95 execution-ready champion,1062141.162286099
2006-11-02,Iter95 execution-ready champion,1067127.7197346105
2006-11-03,Iter95 execution-ready champion,1086076.6380389542
2006-11-06,Iter95 execution-ready champion,1075106.2116522288
2006-11-07,Iter95 execution-ready champion,1083084.7035698472
2006-11-08,Iter95 execution-ready champion,1080092.7691007403
2006-11-09,Iter95 execution-ready champion,1076103.5231419313
2006-11-10,Iter95 execution-ready champion,1077100.8346316335
2006-11-13,Iter95 execution-ready champion,1069122.3427140152
2006-11-14,Iter95 execution-ready champion,1078098.1461213357
2006-11-15,Iter95 execution-ready champion,1082087.392080145
2006-11-16,Iter95 execution-ready champion,1085079.3265492518
2006-11-17,Iter95 execution-ready champion,1085079.3265492518
2006-11-20,Iter95 execution-ready champion,1075106.2116522288
2006-11-21,Iter95 execution-ready champion,1092060.506977168
2006-11-22,Iter95 execution-ready champion,1099041.687405084
2006-11-23,Iter95 execution-ready champion,1102033.6218741909
2006-11-24,Iter95 execution-ready champion,1108017.4908124048
2006-11-27,Iter95 execution-ready champion,1114001.3597506185
2006-11-28,Iter95 execution-ready champion,1110012.1137918094
2006-11-29,Iter95 execution-ready champion,1112006.736771214
2006-11-30,Iter95 execution-ready champion,1122977.1631579392
2006-12-01,Iter95 execution-ready champion,1128961.0320961531
2006-12-04,Iter95 execution-ready champion,1135942.212524069
2006-12-05,Iter95 execution-ready champion,1132950.2780549622
2006-12-06,Iter95 execution-ready champion,1146912.6389107942
2006-12-07,Iter95 execution-ready champion,1142923.3929519851
2006-12-08,Iter95 execution-ready champion,1127963.7206064507
2006-12-11,Iter95 execution-ready champion,1126966.4091167485
2006-12-12,Iter95 execution-ready champion,1103030.933363893
2006-12-13,Iter95 execution-ready champion,1102033.6218741909
2006-12-14,Iter95 execution-ready champion,1109014.8023021072
2006-12-15,Iter95 execution-ready champion,1115995.982730023
2006-12-18,Iter95 execution-ready champion,1130955.6550755578
2006-12-19,Iter95 execution-ready champion,1125969.0976270463
2006-12-20,Iter95 execution-ready champion,1126966.4091167485
2006-12-21,Iter95 execution-ready champion,1126966.4091167485
2006-12-22,Iter95 execution-ready champion,1126966.4091167485
2006-12-25,Iter95 execution-ready champion,1124971.7861373438
